number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_gru,params_hidden_lstm,params_lr,params_weight_decay,state
62,0.019449541345238686,2026-01-28 09:37:37.596883,2026-01-28 09:37:40.908500,0 days 00:00:03.311617,64,0.1659580556991894,256,128,0.0006523489127014697,4.286564567031694e-05,COMPLETE
63,0.01947915554046631,2026-01-28 09:37:40.910675,2026-01-28 09:37:45.927341,0 days 00:00:05.016666,64,0.17969359622588313,256,128,0.0007128051395055801,6.853447654420148e-05,COMPLETE
64,0.019202806055545807,2026-01-28 09:37:45.929198,2026-01-28 09:37:50.079142,0 days 00:00:04.149944,64,0.1549563516667708,256,128,0.0011050559499048147,5.259866154906852e-05,COMPLETE
65,0.01950574479997158,2026-01-28 09:37:50.081430,2026-01-28 09:37:53.433106,0 days 00:00:03.351676,64,0.15389032084945364,256,128,0.0010943213025778518,4.75240884095609e-05,COMPLETE
66,0.01948224939405918,2026-01-28 09:37:53.434852,2026-01-28 09:38:00.371530,0 days 00:00:06.936678,64,0.14104761353360057,256,256,0.0009918192552158154,5.027825477350315e-05,COMPLETE
67,0.019547386094927788,2026-01-28 09:38:00.373606,2026-01-28 09:38:05.461829,0 days 00:00:05.088223,64,0.16455254225718213,256,128,0.0008635837142388716,0.00035184206417556433,COMPLETE
68,0.0193086639046669,2026-01-28 09:38:05.464947,2026-01-28 09:38:12.969495,0 days 00:00:07.504548,64,0.24510590818224628,256,256,0.001375979564424649,3.2343797230464904e-05,COMPLETE
69,0.019424572587013245,2026-01-28 09:38:12.970891,2026-01-28 09:38:18.003621,0 days 00:00:05.032730,64,0.28211095988359286,256,128,0.0010589311540487529,0.00048677666728158585,COMPLETE
70,0.01937973126769066,2026-01-28 09:38:18.005236,2026-01-28 09:38:24.948611,0 days 00:00:06.943375,64,0.10733868107362544,256,256,0.0009288902217223432,2.130590948667697e-05,COMPLETE
71,0.020913129672408104,2026-01-28 09:38:24.950797,2026-01-28 09:38:27.435903,0 days 00:00:02.485106,64,0.1924010199306247,256,128,0.0005779486631707002,3.856441405770035e-05,PRUNED
72,0.019437208771705627,2026-01-28 09:38:27.437730,2026-01-28 09:38:31.585487,0 days 00:00:04.147757,64,0.2259421963934316,256,128,0.0012946832032030892,7.267948157453626e-05,COMPLETE
73,0.019459828734397888,2026-01-28 09:38:31.587805,2026-01-28 09:38:35.745043,0 days 00:00:04.157238,64,0.17760005203886503,256,128,0.00113653441878367,6.320501331824558e-05,COMPLETE
74,0.01946862041950226,2026-01-28 09:38:35.747435,2026-01-28 09:38:39.514929,0 days 00:00:03.767494,64,0.198925799709546,256,128,0.0006218808821901965,2.7098412321594474e-05,COMPLETE
75,0.02136407420039177,2026-01-28 09:38:39.517035,2026-01-28 09:38:42.042715,0 days 00:00:02.525680,64,0.15710458462008212,256,128,0.001510859448903864,9.30607464944807e-05,PRUNED
76,0.019849980250000954,2026-01-28 09:38:42.045038,2026-01-28 09:38:46.099895,0 days 00:00:04.054857,64,0.12993704831687522,128,256,0.001011108885691411,4.071234213116431e-05,COMPLETE
77,0.01942242681980133,2026-01-28 09:38:46.102756,2026-01-28 09:38:48.638121,0 days 00:00:02.535365,64,0.14687647440618357,128,128,0.0005295708030894727,0.0005994120185214199,COMPLETE
78,0.019883155822753906,2026-01-28 09:38:48.640389,2026-01-28 09:38:53.263995,0 days 00:00:04.623606,64,0.11605943261825967,256,128,0.0008133196913643185,3.425557292419692e-05,COMPLETE
79,0.019725680351257324,2026-01-28 09:38:53.265536,2026-01-28 09:38:57.803893,0 days 00:00:04.538357,64,0.2527783783023211,128,256,0.0007099078995692292,5.475693564226763e-05,COMPLETE
80,0.020160453394055367,2026-01-28 09:38:57.805853,2026-01-28 09:39:01.036199,0 days 00:00:03.230346,64,0.21944750352049053,128,128,0.0011879622204603486,0.0008181208318005624,COMPLETE
81,0.019553247839212418,2026-01-28 09:39:01.038251,2026-01-28 09:39:08.759868,0 days 00:00:07.721617,64,0.27379898148973575,256,256,0.0014309186768447424,1.569623026505989e-05,COMPLETE
82,0.019564233720302582,2026-01-28 09:39:08.761845,2026-01-28 09:39:15.005075,0 days 00:00:06.243230,64,0.2552609709216712,256,256,0.0013738797202618688,4.420858930439442e-05,COMPLETE
83,0.01975908875465393,2026-01-28 09:39:15.007120,2026-01-28 09:39:21.966308,0 days 00:00:06.959188,64,0.2362740438590049,256,256,0.001106602286256582,2.990962882679217e-05,COMPLETE
84,0.019708804786205292,2026-01-28 09:39:21.968397,2026-01-28 09:39:31.804680,0 days 00:00:09.836283,64,0.20272899112471776,256,256,0.0013019723853326091,3.1228085325446923e-05,COMPLETE
85,0.019231725484132767,2026-01-28 09:39:31.806312,2026-01-28 09:39:40.150818,0 days 00:00:08.344506,64,0.2446455299192784,256,256,0.0016405382951669542,3.580875767177306e-05,COMPLETE
86,0.01968066208064556,2026-01-28 09:39:40.152812,2026-01-28 09:39:47.419700,0 days 00:00:07.266888,128,0.23755206613602664,256,256,0.0016857518702690837,3.789580663314053e-05,COMPLETE
87,0.01949203759431839,2026-01-28 09:39:47.421369,2026-01-28 09:39:49.662024,0 days 00:00:02.240655,64,0.1738488145015186,128,128,0.0019541204187596395,5.181350014900941e-05,COMPLETE
88,0.01929066888988018,2026-01-28 09:39:49.663671,2026-01-28 09:39:56.007967,0 days 00:00:06.344296,64,0.1481283114615366,256,256,0.0012273248165666276,2.364858671255315e-05,COMPLETE
89,0.01964958943426609,2026-01-28 09:39:56.010003,2026-01-28 09:39:58.221995,0 days 00:00:02.211992,64,0.16374332466594685,128,128,0.000675671804172244,6.223883595044321e-05,COMPLETE
90,0.019168395549058914,2026-01-28 09:39:58.223526,2026-01-28 09:40:00.218596,0 days 00:00:01.995070,128,0.21798446352925963,128,128,0.0010340317004298987,0.00026971450122634493,COMPLETE
91,0.01946152001619339,2026-01-28 09:40:00.220382,2026-01-28 09:40:02.210255,0 days 00:00:01.989873,128,0.21559901311177138,128,128,0.0010497098108044887,0.0002927224828426741,COMPLETE
92,0.019466683268547058,2026-01-28 09:40:02.212039,2026-01-28 09:40:04.797398,0 days 00:00:02.585359,128,0.23190413392134734,128,128,0.0009439958836802327,0.0002585336656528656,COMPLETE
93,0.0211756881326437,2026-01-28 09:40:04.799056,2026-01-28 09:40:05.992816,0 days 00:00:01.193760,128,0.1915789193221739,128,128,0.0011430855096591806,0.0005484799903298618,PRUNED
94,0.01911911368370056,2026-01-28 09:40:05.994675,2026-01-28 09:40:07.991109,0 days 00:00:01.996434,128,0.22124089438182845,128,128,0.0008600425441173263,0.0003505217732324312,COMPLETE
95,0.021621905267238617,2026-01-28 09:40:07.993292,2026-01-28 09:40:09.196940,0 days 00:00:01.203648,128,0.247085596167401,128,128,0.000889552178320339,0.0003398439280559284,PRUNED
96,0.019372904673218727,2026-01-28 09:40:09.198526,2026-01-28 09:40:11.558871,0 days 00:00:02.360345,128,0.20286748770496044,128,128,0.0009749744513686221,0.00044073747543238586,COMPLETE
97,0.01936258003115654,2026-01-28 09:40:11.560610,2026-01-28 09:40:16.203526,0 days 00:00:04.642916,128,0.2612762825283813,128,256,0.0007827448399004025,0.0003820953502538696,COMPLETE
98,0.019178606569767,2026-01-28 09:40:16.205214,2026-01-28 09:40:18.399047,0 days 00:00:02.193833,128,0.22618276020663497,128,128,0.001042808277681892,0.00019620163732582407,COMPLETE
99,0.02019769698381424,2026-01-28 09:40:18.401118,2026-01-28 09:40:19.593682,0 days 00:00:01.192564,128,0.22260723167097152,128,128,0.000852786010468297,0.00022951174753951088,PRUNED
